HRJobContract-id,HRJobContract-contact_id,HRJobDetails-position,HRJobDetails-title,HRJobDetails-funding_notes,HRJobDetails-contract_type,HRJobDetails-period_start_date,HRJobDetails-period_end_date,HRJobDetails-end_reason,HRJobDetails-notice_amount,HRJobDetails-notice_unit,HRJobDetails-notice_amount_employee,HRJobDetails-notice_unit_employee,HRJobDetails-location,HRJobHealth-provider,HRJobHealth-plan_type,HRJobHealth-description,HRJobHealth-dependents,HRJobHealth-provider_life_insurance,HRJobHealth-plan_type_life_insurance,HRJobHealth-description_life_insurance,HRJobHealth-dependents_life_insurance,HRJobHour-location_standard_hours,HRJobHour-hours_type,HRJobHour-hours_amount,HRJobHour-hours_unit,HRJobHour-hours_fte,HRJobHour-fte_num,HRJobHour-fte_denom,HRJobPay-pay_scale,HRJobPay-is_paid,HRJobPay-pay_amount,HRJobPay-pay_unit,HRJobPay-pay_currency,HRJobPay-pay_annualized_est,HRJobPay-pay_is_auto_est,HRJobPay-annual_benefits,HRJobPay-pay_cycle,HRJobPay-pay_per_cycle_gross,HRJobPay-pay_per_cycle_net,HRJobPension-is_enrolled,HRJobPension-ee_contrib_pct,HRJobPension-er_contrib_pct,HRJobPension-pension_type,HRJobLeave-leave_amount
45,281,Manager - Brand and Content,Manager - Brand and Content,Funded from corpus,Fixed Term,7/27/2013,10/15/2016,Planned,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,27,Week,0.68,27,40,E3,Paid,42323,Year,GBP (£),42323,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3526.92,3576.92,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
46,282,Community Mobilizer,Community Mobilizer,Donor funded position,Employee_Permanent,5/25/2004,,,3,Month,3,Month,Islington,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Islington,Part_Time,20,Week,0.53,10,19,E5,Paid,16053,Year,GBP (£),16053,1,,Monthly,1337.75,1337.75,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
47,283,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,2/5/2010,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,32,Week,0.84,16,19,E4,Paid,42863,Year,GBP (£),42863,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3571.92,3621.92,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
48,284,Community Mobilizer,Community Mobilizer,Donor funded position,Employee_Permanent,4/2/2015,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,,Week,0,1,1,E5,Paid,35600,Year,GBP (£),35600,1,,Monthly,2966.67,2966.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
49,285,Community Mobilizer,Community Mobilizer,Donor funded position,Employee_Permanent,3/27/2012,,,3,Month,3,Month,Stratford,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Stratford,Full_Time,,Week,0,1,1,E5,Paid,37900,Year,GBP (£),37900,1,,Monthly,3158.33,3158.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
50,286,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,6/8/1995,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,,Week,0,1,1,E4,Paid,58400,Year,GBP (£),58400,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4866.67,4916.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
51,287,Community Mobilizer,Community Mobilizer,Donor funded position,Employee_Permanent,4/14/2009,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,,Week,0,1,1,E5,Paid,30900,Year,GBP (£),30900,1,,Monthly,2575,2575,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
52,288,Office Assistant,Office Assistant,Donor funded position,Employee_Permanent,5/12/2008,,,3,Month,3,Month,Victoria,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Victoria,Full_Time,40,Week,1,1,1,E5,Paid,38400,Year,GBP (£),38400,0,[],Monthly,3200,3200,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:90,Paternity:0,TOIL:0,Other:2,Compassionate_Leave:2,Parental_Leave:0"
53,289,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,9/6/2011,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,54900,Year,GBP (£),54900,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4575,4625,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
54,290,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,6/1/2015,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Full_Time,,Week,0,1,1,E4,Paid,57900,Year,GBP (£),57900,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4825,4875,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
55,291,Teacher - Literacy,Teacher - Literacy,Donor funded position,Fixed Term,6/23/2009,11/23/2016,Planned,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,38,Week,1,1,1,E4,Paid,55500,Year,GBP (£),55500,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4625,4675,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
56,292,Head of Finance,Head of Finance,Funded from corpus,Employee_Permanent,5/25/2014,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,,Week,0,1,1,E2,Paid,71500,Year,GBP (£),71500,1,,Monthly,5958.33,5958.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
57,293,Community Mobilizer,Community Mobilizer,Donor funded position,Employee_Permanent,5/5/1995,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E5,Paid,34900,Year,GBP (£),34900,1,,Monthly,2908.33,2908.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
58,294,Teacher - Literacy,Teacher - Literacy,Donor funded position,Fixed Term,11/7/2008,7/11/2018,Planned,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,38,Week,1,1,1,E4,Paid,52200,Year,GBP (£),52200,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4350,4400,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
59,295,Manager - Events,Manager - Events,Funded from corpus,Employee_Permanent,6/9/1999,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,,Week,0,1,1,E3,Paid,64600,Year,GBP (£),64600,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,5383.33,5433.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
60,296,Community Mobilizer,Community Mobilizer,Donor funded position,Employee_Permanent,2/15/2013,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E5,Paid,37900,Year,GBP (£),37900,1,,Monthly,3158.33,3158.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
61,297,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,5/25/2008,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,54400,Year,GBP (£),54400,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4533.33,4583.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
62,298,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,8/17/2011,,,3,Month,3,Month,Hammersmith,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Hammersmith,Full_Time,,Week,0,1,1,E4,Paid,53100,Year,GBP (£),53100,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4425,4475,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
63,299,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,1/9/2014,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,,Week,0,1,1,E4,Paid,58700,Year,GBP (£),58700,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4891.67,4941.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
64,300,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,3/5/1997,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,57700,Year,GBP (£),57700,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4808.33,4858.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
65,301,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,4/28/2001,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Full_Time,,Week,0,1,1,E4,Paid,57400,Year,GBP (£),57400,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4783.33,4833.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
66,302,Events Assistant,Events Assistant,Donor funded position,Employee_Permanent,11/17/2004,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,,Week,0,1,1,E5,Paid,35500,Year,GBP (£),35500,1,,Monthly,2958.33,2958.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
67,303,Teacher - Literacy,Teacher - Literacy,Donor funded position,Fixed Term,12/14/2014,12/14/2019,Planned,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,38,Week,1,1,1,E4,Paid,51700,Year,GBP (£),51700,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4308.33,4358.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
68,304,Subject Head - Numeracy,Subject Head - Numeracy,Donor funded position,Employee_Permanent,10/23/2001,,,3,Month,3,Month,Stratford,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Stratford,Full_Time,,Week,0,1,1,E4,Paid,57900,Year,GBP (£),57900,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4825,4875,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
69,305,Area Manager - Stratford,Area Manager - Stratford,Funded from corpus,Employee_Permanent,2/14/2013,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E3,Paid,61400,Year,GBP (£),61400,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,5116.67,5166.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
70,306,Senior Manager HR,Senior Manager HR,Funded from corpus,Employee_Permanent,11/5/2009,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,40,Week,1,1,1,E2,Paid,73400,Year,GBP (£),73400,0,[],Monthly,6116.67,6116.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:14,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
71,307,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,7/17/2007,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,32,Week,0.84,16,19,E4,Paid,44042,Year,GBP (£),44042,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3670.17,3720.17,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
72,308,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,6/8/2005,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,32,Week,0.84,16,19,E4,Paid,49095,Year,GBP (£),49095,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4091.25,4141.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
73,309,Manager - External Relations,Manager - External Relations,Funded from corpus,Employee_Permanent,11/8/2013,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,34,Week,0.85,17,20,E3,Paid,58395,Year,GBP (£),58395,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4866.25,4916.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
74,310,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,7/29/2012,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,22,Week,0.58,11,19,E4,Paid,34563,Year,GBP (£),34563,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2880.25,2930.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
75,311,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,11/15/2014,,,3,Month,3,Month,Hammersmith,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Hammersmith,Part_Time,34,Week,0.89,17,19,E4,Paid,46347,Year,GBP (£),46347,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3862.25,3912.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
76,312,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,2/19/2012,,,3,Month,3,Month,Islington,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Islington,Part_Time,32,Week,0.84,16,19,E4,Paid,45726,Year,GBP (£),45726,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3810.5,3860.5,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
77,313,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Fixed Term,11/24/2015,11/24/2017,Planned,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,32,Week,0.84,16,19,E4,Paid,46653,Year,GBP (£),46653,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3887.75,3937.75,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
78,314,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,6/10/2014,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,28,Week,0.74,14,19,E4,Paid,37505,Year,GBP (£),37505,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3125.42,3175.42,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
79,315,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,2/21/2002,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,20,Week,0.53,10,19,E4,Paid,29526,Year,GBP (£),29526,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2460.5,2510.5,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
80,316,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,9/9/2007,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,33,Week,0.87,33,38,E4,Paid,45939,Year,GBP (£),45939,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3828.25,3878.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
81,317,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,1/22/1998,,,3,Month,3,Month,Islington,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Islington,Part_Time,20,Week,0.53,10,19,E4,Paid,30526,Year,GBP (£),30526,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2543.83,2593.83,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
82,318,Head of Marketing & Fundraising,Head of Marketing & Fundraising,Funded from corpus,Employee_Permanent,11/29/2007,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,32,Week,0.8,4,5,E2,Paid,59840,Year,GBP (£),59840,1,,Monthly,4986.67,4986.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
83,319,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,6/25/1998,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,35,Week,0.92,35,38,E4,Paid,53237,Year,GBP (£),53237,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4436.42,4486.42,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
84,320,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,6/25/2013,,,3,Month,3,Month,Hammersmith,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Hammersmith,Part_Time,20,Week,0.53,10,19,E4,Paid,28158,Year,GBP (£),28158,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2346.5,2396.5,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
85,321,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Fixed Term,8/15/2009,8/15/2019,Planned,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Part_Time,32,Week,0.84,16,19,E4,Paid,43789,Year,GBP (£),43789,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3649.08,3699.08,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
86,322,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,11/16/1996,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,36,Week,0.95,18,19,E4,Paid,55895,Year,GBP (£),55895,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4657.92,4707.92,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
87,323,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,1/28/1999,,,3,Month,3,Month,Stratford,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Stratford,Part_Time,32,Week,0.84,16,19,E4,Paid,44211,Year,GBP (£),44211,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3684.25,3734.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
88,324,Deputy Manager - HR,Deputy Manager - HR,Funded from corpus,Employee_Permanent,11/17/2003,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,20,Week,0.5,1,2,E3,Paid,30250,Year,GBP (£),30250,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2520.83,2570.83,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:14,TOIL:0,Other:2,Compassionate_Leave:2,Parental_Leave:0"
89,325,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,6/7/2000,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,25,Week,0.66,25,38,E4,Paid,33487,Year,GBP (£),33487,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2790.58,2840.58,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
